,Step,PotEng
0,0.0,352.03938
1,50.0,20.554228
2,100.0,28.086826
3,150.0,-21.047325
4,200.0,-24.278533
5,250.0,-53.768344
6,300.0,-61.861342
7,350.0,-69.304675
8,400.0,-95.945323
9,450.0,-92.718758
10,500.0,-100.83449
11,550.0,-109.46925
12,600.0,-118.23415
13,650.0,-111.12653
14,700.0,-117.5449
15,750.0,-119.24995
16,800.0,-112.6894
17,850.0,-111.54345
18,900.0,-126.35341
19,950.0,-156.15064
20,1000.0,-157.60307
21,1050.0,-150.92687
22,1100.0,-162.67183
23,1150.0,-135.3346
24,1200.0,-148.86709
25,1250.0,-135.15997
26,1300.0,-143.97783
27,1350.0,-138.05702
28,1400.0,-128.60939
29,1450.0,-135.26857
30,1500.0,-136.34077
31,1550.0,-137.06874
32,1600.0,-169.20449
33,1650.0,-153.98376
34,1700.0,-145.32453
35,1750.0,-147.56059
36,1800.0,-153.80923
37,1850.0,-145.1792
38,1900.0,-133.88161
39,1950.0,-160.9827
40,2000.0,-143.22912
41,2050.0,-137.22551
42,2100.0,-153.349
43,2150.0,-153.67086
44,2200.0,-157.64901
45,2250.0,-173.10258
46,2300.0,-174.08135
47,2350.0,-176.60946
48,2400.0,-186.80031
49,2450.0,-176.23568
50,2500.0,-186.61003
51,2550.0,-181.77036
52,2600.0,-181.79601
53,2650.0,-166.90453
54,2700.0,-173.31292
55,2750.0,-164.21846
56,2800.0,-166.46093
57,2850.0,-156.07342
58,2900.0,-147.44317
59,2950.0,-146.77258
60,3000.0,-145.64538
61,3050.0,-115.94243
62,3100.0,-132.76287
63,3150.0,-142.57927
64,3200.0,-130.29162
65,3250.0,-152.14286
66,3300.0,-143.95724
67,3350.0,-136.45835
68,3400.0,-162.50914
69,3450.0,-145.73534
70,3500.0,-172.94757
71,3550.0,-185.59655
72,3600.0,-163.47303
73,3650.0,-180.88724
74,3700.0,-178.41044
75,3750.0,-169.61451
76,3800.0,-168.90281
77,3850.0,-188.80393
78,3900.0,-200.59682
79,3950.0,-183.89287
80,4000.0,-186.79283
81,4050.0,-196.64718
82,4100.0,-185.03005
83,4150.0,-183.4168
84,4200.0,-194.88223
85,4250.0,-190.29581
86,4300.0,-193.28449
87,4350.0,-182.70271
88,4400.0,-207.05488
89,4450.0,-195.52656
90,4500.0,-201.64319
91,4550.0,-211.05837
92,4600.0,-205.0102
93,4650.0,-200.70606
94,4700.0,-199.59142
95,4750.0,-183.12282
96,4800.0,-187.65022
97,4850.0,-174.06376
98,4900.0,-169.97283
99,4950.0,-178.83571
100,5000.0,-157.99835
101,5050.0,-175.60265
102,5100.0,-178.352
103,5150.0,-176.98611
104,5200.0,-191.43698
105,5250.0,-187.87445
106,5300.0,-177.34476
107,5350.0,-181.5034
108,5400.0,-172.87961
109,5450.0,-181.49596
110,5500.0,-191.18433
111,5550.0,-201.88519
112,5600.0,-201.0898
113,5650.0,-215.75779
114,5700.0,-204.09629
115,5750.0,-211.89329
116,5800.0,-214.01689
117,5850.0,-236.66902
118,5900.0,-212.69813
119,5950.0,-203.08261
120,6000.0,-204.48151
121,6050.0,-212.64456
122,6100.0,-198.07084
123,6150.0,-191.88668
124,6200.0,-179.03721
125,6250.0,-190.95824
126,6300.0,-195.38734
127,6350.0,-213.77052
128,6400.0,-207.30722
129,6450.0,-209.86416
130,6500.0,-206.84059
131,6550.0,-215.28597
132,6600.0,-212.92871
133,6650.0,-195.80426
134,6700.0,-220.63918
135,6750.0,-199.31612
136,6800.0,-200.8464
137,6850.0,-175.14583
138,6900.0,-173.60845
139,6950.0,-171.38773
140,7000.0,-180.71798
141,7050.0,-186.72051
142,7100.0,-188.9169
143,7150.0,-180.58941
144,7200.0,-162.16281
145,7250.0,-189.48463
146,7300.0,-167.74592
147,7350.0,-183.44752
148,7400.0,-187.29685
149,7450.0,-174.90633
150,7500.0,-185.97721
151,7550.0,-210.56744
152,7600.0,-201.54294
153,7650.0,-214.83186
154,7700.0,-225.43966
155,7750.0,-211.63093
156,7800.0,-204.36408
157,7850.0,-200.1651
158,7900.0,-220.7844
159,7950.0,-186.5337
160,8000.0,-189.01508
161,8050.0,-178.88619
162,8100.0,-176.32219
163,8150.0,-167.05246
164,8200.0,-166.49496
165,8250.0,-170.48928
166,8300.0,-175.6757
167,8350.0,-190.72316
168,8400.0,-227.82533
169,8450.0,-205.32936
170,8500.0,-220.14528
171,8550.0,-196.42093
172,8600.0,-232.19747
173,8650.0,-225.05684
174,8700.0,-227.63454
175,8750.0,-220.36791
176,8800.0,-207.95332
177,8850.0,-201.20509
178,8900.0,-196.34344
179,8950.0,-184.76895
180,9000.0,-182.76116
181,9050.0,-197.30503
182,9100.0,-214.59519
183,9150.0,-210.28068
184,9200.0,-203.59065
185,9250.0,-216.72208
186,9300.0,-239.3462
187,9350.0,-217.82023
188,9400.0,-213.1376
189,9450.0,-227.71431
190,9500.0,-215.7666
191,9550.0,-185.94557
192,9600.0,-177.14515
193,9650.0,-192.00731
194,9700.0,-189.67201
195,9750.0,-205.96899
196,9800.0,-181.65316
197,9850.0,-193.59759
198,9900.0,-178.96395
199,9950.0,-170.73352
200,10000.0,-194.64386
